////////////////////////////////////////////////////////////// PID-setup Teil kp Versuch 1: kp = 0.1;
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
Linie verlassen bei: 29026 32748 9391 24989                <-- sensoren vermutlich noch nicht ganz einsatzbereit
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 15038 10641 25261 22006            
error: -0.00976 | diff: -244 | msg.angular.z: -0.000976
error: -0.00976 | diff: -244 | msg.angular.z: -0.000976
error: -0.00976 | diff: -244 | msg.angular.z: -0.000976
error: 0.01764 | diff: 441 | msg.angular.z: 0.001764
error: 0.01764 | diff: 441 | msg.angular.z: 0.001764
error: 0.01764 | diff: 441 | msg.angular.z: 0.001764
error: 0.01764 | diff: 441 | msg.angular.z: 0.001764
error: 0.01764 | diff: 441 | msg.angular.z: 0.001764
error: 0.05068 | diff: 1267 | msg.angular.z: 0.005068
error: 0.05068 | diff: 1267 | msg.angular.z: 0.005068
error: 0.05068 | diff: 1267 | msg.angular.z: 0.005068
error: 0.05068 | diff: 1267 | msg.angular.z: 0.005068
error: 0.05068 | diff: 1267 | msg.angular.z: 0.005068
error: 0.09588 | diff: 2397 | msg.angular.z: 0.009588
error: 0.09588 | diff: 2397 | msg.angular.z: 0.009588
error: 0.09588 | diff: 2397 | msg.angular.z: 0.009588
error: 0.09588 | diff: 2397 | msg.angular.z: 0.009588
error: 0.09588 | diff: 2397 | msg.angular.z: 0.009588
error: 0.15328 | diff: 3832 | msg.angular.z: 0.015328
error: 0.15328 | diff: 3832 | msg.angular.z: 0.015328
error: 0.15328 | diff: 3832 | msg.angular.z: 0.015328
error: 0.15328 | diff: 3832 | msg.angular.z: 0.015328
error: 0.15328 | diff: 3832 | msg.angular.z: 0.015328
error: 0.21752 | diff: 5438 | msg.angular.z: 0.021752
error: 0.21752 | diff: 5438 | msg.angular.z: 0.021752
